Step,Value
20480,80.0
40960,60.0
60416,60.0
80896,40.0
100352,20.0
120832,20.0
140288,60.0
160768,100.0
180224,40.0
200704,80.0
220160,60.0
240640,80.0
260096,20.0
280576,60.0
300032,40.0
320512,60.0
340992,60.0
360448,100.0
380928,60.0
400384,60.0
420864,100.0
440320,20.0
460800,60.0
480256,20.0
500736,60.0
520192,40.0
540672,60.0
560128,60.0
580608,80.0
600064,80.0
620544,80.0
640000,40.0
660480,60.0
680960,40.0
700416,60.0
720896,40.0
740352,60.0
760832,80.0
780288,80.0
800768,80.0
820224,100.0
840704,40.0
860160,100.0
880640,60.0
900096,80.0
920576,80.0
940032,60.0
960512,40.0
980992,40.0
1000448,80.0
1020928,80.0
1040384,100.0
1060864,60.0
1080320,80.0
1100800,60.0
1120256,60.0
1140736,0.0
1160192,80.0
1180672,80.0
1200128,60.0
1220608,80.0
1240064,100.0
1260544,100.0
1280000,100.0
1300480,80.0
1320960,60.0
1340416,100.0
1360896,100.0
1380352,100.0
1400832,100.0
1420288,100.0
1440768,100.0
1460224,100.0
1480704,100.0
1500160,60.0
1520640,60.0
1540096,100.0
1560576,100.0
1580032,100.0
1600512,100.0
1620992,100.0
1640448,100.0
1660928,100.0
1680384,100.0
1700864,80.0
1720320,80.0
1740800,100.0
1760256,80.0
1780736,80.0
1800192,80.0
1820672,100.0
1840128,80.0
1860608,100.0
1880064,80.0
1900544,100.0
1920000,100.0
1940480,80.0
1960960,100.0
1980416,100.0
2000896,-120.0
2020352,100.0
2040832,-119.80000305175781
2060288,100.0
2080768,80.0
2100224,100.0
2120704,100.0
2140160,100.0
2160640,100.0
2180096,100.0
2200576,100.0
2220032,100.0
2240512,100.0
2260992,100.0
2280448,100.0
2300928,100.0
2320384,100.0
2340864,80.0
2360320,-45.20000076293945
2380800,60.0
2400256,60.0
2420736,100.0
2440192,100.0
2460672,100.0
2480128,100.0
2500608,100.0
2520064,80.0
2540544,80.0
2560000,80.0
2580480,80.0
2600960,100.0
2620416,80.0
2640896,100.0
2660352,80.0
2680832,100.0
2700288,100.0
2720768,100.0
2740224,100.0
2760704,80.0
2780160,80.0
2800640,100.0
2820096,100.0
2840576,100.0
2860032,100.0
2880512,100.0
2900992,100.0
2920448,100.0
2940928,100.0
2960384,100.0
2980864,100.0
3000320,100.0
3020800,80.0
3040256,80.0
3060736,100.0
3080192,100.0
3100672,80.0
3120128,100.0
3140608,80.0
3160064,100.0
3180544,100.0
3200000,100.0
3220480,100.0
3240960,100.0
3260416,100.0
3280896,100.0
3300352,100.0
3320832,100.0
3340288,100.0
3360768,100.0
3380224,100.0
3400704,100.0
3420160,100.0
3440640,100.0
3460096,100.0
3480576,100.0
3500032,100.0
3520512,100.0
3540992,100.0
3560448,100.0
3580928,100.0
3600384,100.0
3620864,100.0
3640320,100.0
3660800,100.0
3680256,100.0
3700736,100.0
3720192,100.0
3740672,100.0
3760128,100.0
3780608,100.0
3800064,100.0
3820544,100.0
3840000,100.0
3860480,100.0
3880960,100.0
3900416,100.0
3920896,100.0
3940352,100.0
3960832,100.0
3980288,100.0
4000768,100.0
4020224,100.0
4040704,100.0
4060160,100.0
4080640,100.0
4100096,100.0
4120576,100.0
4140032,100.0
4160512,100.0
4180992,100.0
4200448,100.0
4220928,100.0
4240384,100.0
4260864,100.0
4280320,100.0
4300800,100.0
4320256,100.0
4340736,100.0
4360192,100.0
4380672,100.0
4400128,100.0
4420608,100.0
4440064,100.0
4460544,100.0
4480000,100.0
4500480,100.0
4520960,100.0
4540416,100.0
4560896,100.0
4580352,100.0
4600832,100.0
4620288,100.0
4640768,100.0
4660224,100.0
4680704,100.0
4700160,100.0
4720640,100.0
4740096,100.0
4760576,100.0
4780032,100.0
4800512,100.0
4820992,100.0
4840448,100.0
4860928,100.0
4880384,100.0
4900864,100.0
4920320,100.0
4940800,100.0
4960256,100.0
4980736,100.0
5000192,100.0
